id,created_at,text
7.82344E+17,10/1/16 22:17,No
7.81138E+17,9/28/16 14:25,No
7.80784E+17,9/27/16 15:00,No
7.80568E+17,9/27/16 0:40,Yes
7.8016E+17,9/25/16 21:38,Yes
7.7946E+17,9/23/16 23:20,No
7.78991E+17,9/22/16 16:16,Yes
7.78364E+17,9/20/16 22:43,No
7.77952E+17,9/19/16 19:25,No
7.77562E+17,9/18/16 17:34,No
7.76175E+17,9/14/16 21:45,Yes
7.75807E+17,9/13/16 21:23,Yes
7.75378E+17,9/12/16 16:58,Yes
7.74704E+17,9/10/16 20:20,Yes
7.72926E+17,9/5/16 22:36,No
7.7176E+17,9/2/16 17:21,No
7.71043E+17,8/31/16 17:52,No
7.70421E+17,8/30/16 0:39,Yes
7.66769E+17,8/19/16 22:49,Yes
7.66048E+17,8/17/16 23:04,Yes
7.65596E+17,8/16/16 17:09,Yes
7.6525E+17,8/15/16 18:13,Yes
7.64876E+17,8/14/16 17:28,Yes
7.64564E+17,8/13/16 20:49,Yes
7.64254E+17,8/13/16 0:17,Yes
7.64182E+17,8/12/16 19:29,Yes
7.63918E+17,8/12/16 2:00,Yes
7.61671E+17,8/5/16 21:12,Yes
7.61616E+17,8/5/16 17:34,Yes
7.61336E+17,8/4/16 23:00,Yes
7.6105E+17,8/4/16 4:05,Yes
7.60617E+17,8/2/16 23:24,No
7.60281E+17,8/2/16 1:07,Yes
7.59952E+17,8/1/16 3:18,Yes
7.59216E+17,7/30/16 2:34,Yes
7.58698E+17,7/28/16 16:17,Yes
7.58106E+17,7/27/16 1:04,Yes
7.57263E+17,7/24/16 17:15,Yes
7.53785E+17,7/15/16 2:54,Yes
7.53333E+17,7/13/16 20:59,No
7.50841E+17,7/6/16 23:58,No
7.48318E+17,6/30/16 0:50,Yes
7.47438E+17,6/27/16 14:36,Yes
7.4718E+17,6/26/16 21:31,Yes
7.4363E+17,6/17/16 2:22,No
7.4105E+17,6/9/16 23:30,No
7.40404E+17,6/8/16 4:43,Yes
7.39936E+17,6/6/16 21:43,Yes
7.39663E+17,6/6/16 3:40,Yes
7.39303E+17,6/5/16 3:48,Yes
7.3888E+17,6/3/16 23:46,Yes
7.37434E+17,5/31/16 0:03,Yes
7.37382E+17,5/30/16 20:35,Yes
7.35241E+17,5/24/16 22:49,No
7.34534E+17,5/22/16 23:59,No
7.32307E+17,5/16/16 20:29,No
7.31151E+17,5/13/16 15:56,Yes
7.30513E+17,5/11/16 21:41,Yes
7.30098E+17,5/10/16 18:10,Yes
7.29387E+17,5/8/16 19:06,Yes
7.28698E+17,5/6/16 21:28,Yes
7.27633E+17,5/3/16 22:57,No
7.272E+17,5/2/16 18:14,Yes
7.26847E+17,5/1/16 18:52,Yes
7.26764E+17,5/1/16 13:23,Yes
7.25088E+17,4/26/16 22:23,No
7.24701E+17,4/25/16 20:47,No
7.23673E+17,4/23/16 0:40,No
7.22196E+17,4/18/16 22:51,Yes
7.21528E+17,4/17/16 2:37,Yes
7.2063E+17,4/14/16 15:10,Yes
7.20003E+17,4/12/16 21:36,No
7.19667E+17,4/11/16 23:22,No
7.18981E+17,4/10/16 1:58,Yes
7.18879E+17,4/9/16 19:10,No
7.18469E+17,4/8/16 16:02,Yes
7.18237E+17,4/8/16 0:41,Yes
7.17845E+17,4/6/16 22:43,Yes
7.17737E+17,4/6/16 15:32,Yes
7.1711E+17,4/4/16 22:03,No
7.15957E+17,4/1/16 17:39,Yes
7.15686E+17,3/31/16 23:43,Yes
7.15607E+17,3/31/16 18:30,Yes
7.15312E+17,3/30/16 22:59,Yes
7.15213E+17,3/30/16 16:24,Yes
7.14868E+17,3/29/16 17:33,Yes
7.14616E+17,3/29/16 0:49,No
7.13784E+17,3/26/16 17:44,Yes
7.13506E+17,3/25/16 23:20,No
7.13109E+17,3/24/16 21:02,No
7.12407E+17,3/22/16 22:32,No
7.11282E+17,3/19/16 20:02,No
7.10855E+17,3/18/16 15:46,Yes
7.10526E+17,3/17/16 18:00,Yes
7.10245E+17,3/16/16 23:24,No
7.08052E+17,3/10/16 22:07,No
7.06995E+17,3/8/16 0:07,No
7.0665E+17,3/7/16 1:16,Yes
7.05864E+17,3/4/16 21:13,Yes
7.05527E+17,3/3/16 22:56,No
7.05189E+17,3/3/16 0:32,No
7.04808E+17,3/1/16 23:20,No
7.04084E+17,2/28/16 23:20,No
7.0375E+17,2/28/16 1:13,No
7.03333E+17,2/26/16 21:36,No
7.02975E+17,2/25/16 21:56,Yes
7.02639E+17,2/24/16 23:38,No
7.02169E+17,2/23/16 16:33,Yes
7.01943E+17,2/23/16 1:34,No
7.0188E+17,2/22/16 21:22,No
7.01427E+17,2/21/16 15:22,Yes
7.01199E+17,2/21/16 0:16,No
7.00782E+17,2/19/16 20:42,No
7.00455E+17,2/18/16 23:02,No
7.00087E+17,2/17/16 22:37,No
6.99714E+17,2/16/16 21:58,No
6.99346E+17,2/15/16 21:32,No
6.98999E+17,2/14/16 22:35,No
6.98662E+17,2/14/16 0:16,No
6.98226E+17,2/12/16 19:23,No
6.9791E+17,2/11/16 22:28,No
6.97505E+17,2/10/16 19:39,No
6.97231E+17,2/10/16 1:30,Yes
6.9709E+17,2/9/16 16:11,Yes
6.96867E+17,2/9/16 1:23,Yes
6.96744E+17,2/8/16 17:14,Yes
6.96463E+17,2/7/16 22:38,Yes
6.96146E+17,2/7/16 1:38,No
6.94924E+17,2/3/16 16:41,No
6.94573E+17,2/2/16 17:29,Yes
6.94343E+17,2/2/16 2:14,No
6.93185E+17,1/29/16 21:33,No
6.92859E+17,1/28/16 23:56,No
6.92488E+17,1/27/16 23:23,No
6.92104E+17,1/26/16 21:57,No
6.91774E+17,1/26/16 0:06,Yes
6.91384E+17,1/24/16 22:16,No
6.91028E+17,1/23/16 22:42,No
6.90654E+17,1/22/16 21:54,No
6.90298E+17,1/21/16 22:18,No
